Row Labels,Average of Calories,Average of IntensiveActivityMin,Average of TotalSteps,,,,,Average of Calories,Average of IntensiveActivityMin,,
1503960366,1882,57.83333333,12428.4375,,,,,1882,58,,0.542940502
1624580081,1448.632653,9.673469388,5137.408163,,,,,1449,10,,
1644430081,2837.575,37.775,7780.925,,,,,2838,38,,
1844505072,1718.15625,1.9375,3864.65625,,,,,1718,2,,
1927972279,2330.642857,3.035714286,1948.071429,,,,,2331,3,,
2022484408,2532.690476,57.85714286,11711.2381,,,,,2533,58,,
2026352035,1510.142857,0.261904762,5053.97619,,,,,1510,0,,
2320127002,1691.52381,3.476190476,4328.238095,,,,,1692,3,,
2347167796,2084.46875,35.53125,9948.59375,,,,,2084,36,,
2873212765,1899.404762,18.0952381,7473.047619,,,,,1899,18,,
2891001357,2273.375,82.5,773.625,,,,,2273,83,,
3372868164,1908.833333,13.93333333,6616.933333,,,,,1909,14,,
3977333714,1512.317073,71.36585366,10554.7561,,,,,1512,71,,
4020332650,3004.270833,14.625,5315.145833,,,,,3004,15,,
4057192912,1955.705882,6.411764706,2222.235294,,,,,1956,6,,
4319703577,2073.785714,18.83333333,7599.547619,,,,,2074,19,,
4388161847,2829.538462,34.58974359,8595.692308,,,,,2830,35,,
4445114986,2192.088889,7.755555556,4729.133333,,,,,2192,8,,
4558609924,2006.452381,19.80952381,7295.285714,,,,,2006,20,,
4702921684,3005.386364,28.84090909,8747.386364,,,,,3005,29,,
5553957443,1884.357143,37.95238095,8662.166667,,,,,1884,38,,
5577150313,3421.897436,121.1538462,8815.974359,,,,,3422,121,,
6117666160,2400.75,4.59375,8743.5625,,,,,2401,5,,
6290855005,2594.147059,10.05882353,5294.647059,,,,,2594,10,,
6391747486,1763.111111,5.777777778,1336.888889,,,,,1763,6,,
6775888955,2437.692308,49.73076923,4443.961538,,,,,2438,50,,
6962181067,2040.340909,48.40909091,10788.68182,,,,,2040,48,,
7007744171,2713.4,54.34285714,12403.42857,,,,,2713,54,,
7086361926,2522.609756,64.2195122,8862,,,,,2523,64,,
8053475328,2984.243902,97.43902439,15138.04878,,,,,2984,97,,
8253242879,1776.827586,27.17241379,5235.862069,,,,,1777,27,,
8378563200,3450.619048,67.76190476,8681.571429,,,,,3451,68,,
8583815059,2732.184211,26.52631579,6513.631579,,,,,2732,27,,
8792009665,2193.8,7.6,3029.233333,,,,,2194,8,,
8877689391,3488.190476,79.5,16759.42857,,,,,3488,80,,
Grand Total,2336.249614,35.49304482,7827.771252,,,,,,,,
